site	cam	count	dist	theta
1	2	1	0.003	0.67
1	2	1	0.003	0.67
1	2	1	0.003	0.67
1	3	1	0.004	0.39
1	3	1	0.003	0.18
1	3	1	0.005	0.1
1	3	1	0.004	0.28
1	3	1	0.003	0.22
1	3	1	0.007	0.21
1	3	1	0.004	0.28
1	3	1	0.004	0.43
1	3	1	0.004	0.24
1	3	1	0.005	0
1	3	1	0.007	0.1
1	3	1	0.004	0.29
1	3	1	0.005	0.08
1	3	1	0.006	0.17
1	3	1	0.003	0.3
1	3	1	0.004	0.32
1	3	1	0.003	0.41
1	3	1	0.006	0.22
1	13	1	0.004	0.38
1	13	1	0.004	0.29
1	13	1	0.004	0.33
1	16	1	0.002	0.79
1	16	1	0.002	0.28
1	16	1	0.005	0.18
1	16	1	0.005	0.24
1	18	1	0.003	0.62
1	19	1	0.003	0.63
1	19	1	0.001	1.19
1	19	1	0.003	0.63
1	20	1	0.007	0.28
1	20	1	0.007	0.17
1	20	1	0.006	0.21
1	20	1	0.007	0.03
2	2	1	0.001	1.37
2	2	1	0.006	0.06
2	2	1	0.003	0.3
2	5	1	0.002	0.18
2	5	1	0.003	0.17
2	10	1	0.005	0.51
2	10	1	0.003	0.11
2	10	1	0.003	0.32
2	11	1	0.002	0.57
2	11	1	0.003	0.13
2	14	1	0.005	0.54
2	15	1	0.001	0.79
2	15	1	0.002	0
2	16	1	0.005	0.13
2	16	1	0.004	0.18
2	17	1	0.015	0.28
3	3	1	0.007	0.29
3	3	1	0.006	0.24
3	3	1	0.006	0.12
3	3	1	0.005	0.19
3	3	1	0.002	0.31
3	3	1	0.004	0.16
3	3	1	0.005	0.06
3	5	1	0.002	0.52
3	5	1	0.002	0.4
3	5	1	0.003	0.76
3	5	1	0.001	0.32
3	5	1	0	0.46
3	7	1	0.001	0.32
3	10	1	0.003	0.42
3	10	1	0.002	0.22
3	10	1	0.002	0
3	10	1	0.002	0
3	16	1	0.002	0.54
3	16	1	0.001	0.67
3	21	1	0.002	0.22
4	1	1	0.003	0.28
4	1	1	0.007	0.18
4	1	1	0.006	0.35
4	5	1	0.002	0.14
4	6	1	0.001	0.3
4	6	1	0.003	0.5
4	6	1	0.003	0.5
4	6	1	0.008	0.46
4	6	1	0.005	0.26
4	6	1	0.004	0.56
4	6	1	0.002	0.27
4	6	1	0.002	0.1
4	6	1	0.002	0.21
4	6	1	0.005	0.51
4	6	1	0.002	0.29
4	6	1	0.004	0.55
4	6	1	0.002	0.22
4	6	1	0.002	0.18
4	6	1	0.003	0.54
5	9	1	0.003	0.03
5	9	1	0.002	0.1
5	9	1	0.002	0.64
5	9	1	0.006	0.19
5	10	1	0.005	0.26
5	10	1	0.006	0.2
5	10	1	0.006	0.48
5	10	1	0.002	0.59
5	10	1	0.005	0.12
5	10	1	0.01	0.46
5	10	1	0.004	0.09
5	10	1	0.003	0.57
5	10	1	0.005	0.21
5	10	1	0.005	0.08
5	10	1	0.009	0.3
5	10	1	0.009	0.22
5	10	1	0.006	0.33
5	10	1	0.004	0.55
5	10	1	0.007	0.33
5	12	1	0.003	0
5	12	1	0.003	0.36
5	14	1	0.003	0.49
5	14	1	0.004	0.23
5	14	1	0.003	0.49
5	15	1	0.002	0.22
5	16	1	0.003	0.46
5	17	1	0.009	0.51
